[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	Location: X 0.000000 Y 0.000000 Z 2.000000
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	Model Detected: Floor_Modular.002
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	Location: X 2.000000 Y 0.000000 Z 2.000000
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	Model Detected: Floor_Modular.003
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	Location: X 2.000000 Y 0.000000 Z 0.000000
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	Model Detected: Bag_Coins
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	Location: X 0.000000 Y 0.091600 Z 0.000000
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	Model Detected: Barrel
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	Location: X 1.532600 Y 0.000000 Z 2.133600
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[MESSAGE]	Game Level File Reading Complete.
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[MESSAGE]	Begin Importing .H2B File Data.
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	H2B Imported: Bag_Coins.h2b
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	H2B Imported: Barrel.h2b
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[INFO]	H2B Imported: Floor_Modular.h2b
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[MESSAGE]	Importing of .H2B File Data Complete.
[Wed Aug 16 18:17:51 2023] ThreadID[9668]	[EVENT]	GAME LEVEL WAS LOADED TO CPU [DATA ORIENTED]
[Wed Aug 16 18:18:25 2023] ThreadID[9304]	Start Program.
[Wed Aug 16 18:18:25 2023] ThreadID[9304]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
